"Url","Arquivo","Existe","StatusHttp","Titulo","Description","H1","Canonical","Robots","Indexavel","Sitemap","Palavras","LinksInternos","LinksQuebrados","ImagensQuebradas","ImagensSemAlt","LinksRecebidos","Orfa","DestinoRedirect","Problemas"
"https://www.jgm4consultoria.com.br/404.html","404.html","True",,"Página não encontrada | JGM4","A página solicitada não foi encontrada. Acesse os serviços, o blog ou os canais de contato da JGM4 Consultoria Logística.","1","","noindex, follow","False","False","76","6","","","0","0","False","",""
"https://www.jgm4consultoria.com.br/blog/absenteismo-nas-empresas.html","blog/absenteismo-nas-empresas.html","True",,"Absenteísmo nas Empresas: Causas e Como Reduzir | JGM4","Entenda como liderança, gestão de pessoas e conflitos ajudam a reduzir o absenteísmo, proteger a produtividade e melhorar o clima organizacional.","1","https://www.jgm4consultoria.com.br/blog/absenteismo-nas-empresas.html","index, follow, max-image-preview:large","True","True","2153","39","","","0","4","False","",""
"https://www.jgm4consultoria.com.br/blog/agendamento-entregas-controle-docas.html","blog/agendamento-entregas-controle-docas.html","True",,"Agendamento de Entregas e Controle de Docas | JGM4","Aprenda a organizar o agendamento de entregas, reduzir filas, controlar docas e melhorar o recebimento com processos, indicadores e software.","1","https://www.jgm4consultoria.com.br/blog/agendamento-entregas-controle-docas.html","index, follow, max-image-preview:large, max-snippet:-1","True","True","735","27","","","0","4","False","",""
"https://www.jgm4consultoria.com.br/blog/case-art-latex-wms-integrado-sankhya.html","blog/case-art-latex-wms-integrado-sankhya.html","True",,"Supera WMS Integrado ao Sankhya | Case Art Latex | JGM4","Conheça o Supera WMS, sistema da JGM4 integrado ao ERP Sankhya. Case Art Latex com rastreabilidade, picking, conferência e expedição.","1","https://www.jgm4consultoria.com.br/blog/case-art-latex-wms-integrado-sankhya.html","index,follow,max-image-preview:large","True","True","1197","23","","","0","9","False","",""
"https://www.jgm4consultoria.com.br/blog/como_controlar_estoques.html","blog/como_controlar_estoques.html","True",,"Como Controlar Estoque com Planilha Simples | JGM4","Aprenda a controlar entradas, saídas, saldo, estoque mínimo e indicadores usando uma planilha simples.","1","https://www.jgm4consultoria.com.br/blog/como_controlar_estoques.html","index, follow","True","True","1143","31","","","0","5","False","",""
"https://www.jgm4consultoria.com.br/blog/como-calcular-percentual-frete-sobre-venda.html","blog/como-calcular-percentual-frete-sobre-venda.html","True",,"Como Calcular o Percentual de Frete sobre a Venda | JGM4","Aprenda a calcular percentual de frete sobre a venda, segmentar o indicador e evitar conclusões erradas sobre margem, pedido e região.","1","https://www.jgm4consultoria.com.br/blog/como-calcular-percentual-frete-sobre-venda.html","index,follow,max-image-preview:large","True","True","473","23","","","0","2","False","",""
"https://www.jgm4consultoria.com.br/blog/como-comparar-tabelas-transportadoras.html","blog/como-comparar-tabelas-transportadoras.html","True",,"Como Comparar Tabelas de Transportadoras Corretamente | JGM4","Compare tabelas de transportadoras considerando faixas, praças, frete mínimo, taxas, cubagem, prazo, ocorrências e perfil real dos embarques.","1","https://www.jgm4consultoria.com.br/blog/como-comparar-tabelas-transportadoras.html","index,follow,max-image-preview:large","True","True","442","23","","","0","4","False","",""
"https://www.jgm4consultoria.com.br/blog/como-dimensionar-centro-de-distribuicao.html","blog/como-dimensionar-centro-de-distribuicao.html","True",,"Como Dimensionar um Centro de Distribuição | Guia Técnico | JGM4","Guia para dimensionar centro de distribuição: estoque, SKUs, posições-palete, picking, pulmão, docas, stage, equipe e crescimento.","1","https://www.jgm4consultoria.com.br/blog/como-dimensionar-centro-de-distribuicao.html","index,follow,max-image-preview:large","True","True","591","25","","","0","4","False","",""
"https://www.jgm4consultoria.com.br/blog/como-identificar-cobrancas-indevidas-cte.html","blog/como-identificar-cobrancas-indevidas-cte.html","True",,"Como Identificar Cobranças Indevidas no CT-e | JGM4","Aprenda a conferir CT-e, tabela, peso, cubagem, taxas, duplicidades, CEP e ocorrências para identificar divergências de cobrança de frete.","1","https://www.jgm4consultoria.com.br/blog/como-identificar-cobrancas-indevidas-cte.html","index,follow,max-image-preview:large","True","True","495","23","","","0","3","False","",""
"https://www.jgm4consultoria.com.br/blog/como-reduzir-custo-frete-sem-trocar-transportadora.html","blog/como-reduzir-custo-frete-sem-trocar-transportadora.html","True",,"Como Reduzir o Custo de Frete sem Trocar de Transportadora | JGM4","Veja como reduzir custo de frete revisando pedidos, cubagem, taxas, ocorrências e regras comerciais antes de trocar de transportadora.","1","https://www.jgm4consultoria.com.br/blog/como-reduzir-custo-frete-sem-trocar-transportadora.html","index,follow,max-image-preview:large","True","True","611","23","","","0","4","False","",""
